type,freq,mod,BW,SF,BR,CR,timestamp,ist,place,lat,lng,rssi,snr
uplink,868100000,LORA,125,12,0,4/5,2956117940,7:25:34 pm,Gokulam colony,11.016413,76.924445,-115,-10.5
uplink,868300000,LORA,125,12,0,4/5,2950601916,7:25:28 pm,Gokulam colony,11.016413,76.924445,-114,-12.8
uplink,868100000,LORA,125,12,0,4/5,1799408604,7:06:17 pm,Palamudhir nilayam,11.021136,76.917369,-110,-12
uplink,868300000,LORA,125,12,0,4/5,1757022092,7:05:35 pm,Palamudhir nilayam,11.021136,76.917369,-114,-14.8
uplink,868500000,LORA,125,12,0,4/5,1482087468,7:01:00 pm,Vadavalli,11.027039,76.905561,-115,-16.5
uplink,868300000,LORA,125,12,0,4/5,1476571084,7:00:54 pm,Vadavalli,11.027039,76.905561,-114,-18
uplink,868100000,LORA,125,12,0,4/5,917679692,6:51:36 pm,Nvr pirivu,11.03053,76.891154,-115,-17.3
uplink,868100000,LORA,125,12,0,4/5,2670282036,5:15:17 pm,Nvr Pirivu,11.03053,76.891154,-111,-6.3
uplink,868500000,LORA,125,12,0,4/5,2105497988,5:05:52 pm,Nvr Pirivu,11.03053,76.891154,-113,-12
uplink,868300000,LORA,125,12,0,4/5,1896464084,5:02:23 pm,Bha Univ,11.039579,76.873726,-98,4.8
uplink,868100000,LORA,125,12,0,4/5,1797797068,5:00:45 pm,Bha Univ,11.039579,76.873726,-108,1.5
uplink,868500000,LORA,125,12,0,4/5,1779662100,5:00:26 pm,Bha Univ,11.039579,76.873726,-111,0.8
uplink,868300000,LORA,125,12,0,4/5,1727903452,4:59:35 pm,Bha Univ,11.039579,76.873726,-103,0.3
uplink,868300000,LORA,125,12,0,4/5,1705106244,4:59:12 pm,Bha Univ,11.039579,76.873726,-107,3.8
uplink,868100000,LORA,125,12,0,4/5,1668859932,4:58:36 pm,Bha Univ,11.039579,76.873726,-101,3.8
uplink,868100000,LORA,125,12,0,4/5,1525460444,4:56:12 pm,Podhigai,11.043264,76.864554,-92,5.5
uplink,868100000,LORA,125,7,0,4/5,1518813691,4:56:06 pm,Podhigai,11.043264,76.864554,-112,0.3
uplink,868100000,LORA,125,7,0,4/5,1514498875,4:56:01 pm,Podhigai,11.043264,76.864554,-114,-1.3
uplink,868500000,LORA,125,7,0,4/5,1495221411,4:55:42 pm,Podhigai,11.043264,76.864554,-115,-6
uplink,868500000,LORA,125,12,0,4/5,1469509708,4:55:16 pm,Podhigai,11.043264,76.864554,-89,6.5
uplink,868100000,LORA,125,12,0,4/5,1455952091,4:55:03 pm,Podhigai,11.043264,76.864554,-114,-7.5
uplink,868100000,LORA,125,12,0,4/5,1452806052,4:55:00 pm,Podhigai,11.043264,76.864554,-92,5
uplink,868100000,LORA,125,12,0,4/5,1445308859,4:54:52 pm,Podhigai,11.043264,76.864554,-115,-5.8
uplink,868500000,LORA,125,12,0,4/5,1436680387,4:54:43 pm,Podhigai,11.043264,76.864554,-115,-4.3
uplink,868300000,LORA,125,12,0,4/5,1350603884,4:53:17 pm,chk post,11.043981,76.862416,-112,-6.8
uplink,868100000,LORA,125,12,0,4/5,1345087540,4:53:12 pm,chk post,11.043981,76.862416,-114,-12.3
uplink,868100000,LORA,125,12,0,4/5,1333139012,4:53:00 pm,chk post,11.043981,76.862416,-115,-11.8
uplink,868500000,LORA,125,12,0,4/5,1310249212,4:52:37 pm,chk post,11.043981,76.862416,-114,-1
uplink,868100000,LORA,125,12,0,4/5,1262331836,4:53:49 pm,chk post,11.043981,76.862416,-113,-6
uplink,868500000,LORA,125,12,0,4/5,1221704364,4:51:08 pm,Idumban,11.044479,76.861685,-114,-6.3
uplink,868100000,LORA,125,12,0,4/5,1128380900,4:49:35 pm,Idumban,11.044479,76.861685,-113,-3
uplink,868500000,LORA,125,12,0,4/5,1025329956,4:47:52 pm,Idumban,11.044479,76.861685,-115,-0.3
uplink,868500000,LORA,125,12,0,4/5,990665836,4:47:17 pm,Idumban,11.044479,76.861685,-112,-0.8
uplink,868100000,LORA,125,12,0,4/5,915394436,4:46:02 pm,mid,11.044707,76.859292,-112,-0.8
uplink,868300000,LORA,125,12,0,4/5,914123436,4:46:01 pm,mid,11.044707,76.859292,-114,0.3
uplink,868100000,LORA,125,12,0,4/5,880944324,4:45:28 pm,mid,11.044707,76.859292,-115,-0.5
uplink,868300000,LORA,125,12,0,4/5,862953644,4:45:10 pm,mid,11.044707,76.859292,-112,-2
uplink,868300000,LORA,125,12,0,4/5,858068156,4:45:05 pm,mid,11.044707,76.859292,-106,-1.3
uplink,868500000,LORA,125,12,0,4/5,789209908,4:43:56 pm,Tepmle Park,11.046469,76.853501,-110,1.8
uplink,868300000,LORA,125,12,0,4/5,755019572,4:43:22 pm,Tepmle Park,11.046469,76.853501,-114,1
uplink,868300000,LORA,125,12,0,4/5,720351580,4:42:47 pm,Tepmle Park,11.046469,76.853501,-110,1
uplink,868500000,LORA,125,12,0,4/5,686161332,4:42:13 pm,Tepmle Park,11.046469,76.853501,-112,-1
uplink,868300000,LORA,125,12,0,4/5,651497300,4:41:38 pm,Tepmle Park,11.046469,76.853501,-103,3
uplink,868300000,LORA,125,12,0,4/5,610462660,4:40:57 pm,Tepmle Park,11.046469,76.853501,-112,-0.5
uplink,868300000,LORA,125,12,0,4/5,589553812,4:40:36 pm,Tepmle Park,11.046469,76.853501,-112,-0.8